measure,sctn_increment,call_num,col_num,shelf_num,section_num,range_num,runsum,col_num2,shelf_per_section,section_per_range,way,units_into,pretty_waypoint
22.0,,,4,2404,348,48,63771.0,04,7,6,2465,13.522453215031419,The last book from this shelf goes 13.5 in/cm into shelf 2465
23.0,x,RJ506 .D4 C97 1996,4,2405,349,49,63794.0,04,1,1,2466,10.45570479761227,The last book from this shelf goes 10.5 in/cm into shelf 2466
22.0,,,4,2406,349,49,63816.0,04,2,1,2467,6.388956380193122,The last book from this shelf goes 6.4 in/cm into shelf 2467
28.0,,,4,2407,349,49,63844.0,04,3,1,2468,8.322207962773973,The last book from this shelf goes 8.3 in/cm into shelf 2468
27.0,,,4,2408,349,49,63871.0,04,4,1,2469,9.255459545354825,The last book from this shelf goes 9.3 in/cm into shelf 2469
26.0,,,4,2409,349,49,63897.0,04,5,1,2470,9.188711127935676,The last book from this shelf goes 9.2 in/cm into shelf 2470
19.0,,,4,2410,349,49,63916.0,04,6,1,2471,2.1219627105165273,The last book from this shelf goes 2.1 in/cm into shelf 2471
18.0,,,4,2411,349,49,63934.0,04,7,1,2471,20.121962710516527,The last book from this shelf goes 20.1 in/cm into shelf 2471
17.0,x,,4,2412,350,49,63951.0,04,1,2,2472,11.055214293097379,The last book from this shelf goes 11.1 in/cm into shelf 2472
20.0,,,4,2413,350,49,63971.0,04,2,2,2473,4.98846587567823,The last book from this shelf goes 5.0 in/cm into shelf 2473
16.0,,,4,2414,350,49,63987.0,04,3,2,2473,20.98846587567823,The last book from this shelf goes 21.0 in/cm into shelf 2473
20.0,,,4,2415,350,49,64007.0,04,4,2,2474,14.921717458259081,The last book from this shelf goes 14.9 in/cm into shelf 2474
15.0,,,4,2416,350,49,64022.0,04,5,2,2475,3.854969040839933,The last book from this shelf goes 3.9 in/cm into shelf 2475
16.0,,,4,2417,350,49,64038.0,04,6,2,2475,19.854969040839933,The last book from this shelf goes 19.9 in/cm into shelf 2475
17.0,,,4,2418,350,49,64055.0,04,7,2,2476,10.788220623420784,The last book from this shelf goes 10.8 in/cm into shelf 2476
19.0,x,,4,2419,351,49,64074.0,04,1,3,2477,3.7214722060016356,The last book from this shelf goes 3.7 in/cm into shelf 2477
20.0,,,4,2420,351,49,64094.0,04,2,3,2477,23.721472206001636,The last book from this shelf goes 23.7 in/cm into shelf 2477
15.0,,,4,2421,351,49,64109.0,04,3,3,2478,12.654723788582487,The last book from this shelf goes 12.7 in/cm into shelf 2478
15.0,,,4,2422,351,49,64124.0,04,4,3,2479,1.5879753711633384,The last book from this shelf goes 1.6 in/cm into shelf 2479
20.0,,,4,2423,351,49,64144.0,04,5,3,2479,21.58797537116334,The last book from this shelf goes 21.6 in/cm into shelf 2479
22.0,,,4,2424,351,49,64166.0,04,6,3,2480,17.52122695374419,The last book from this shelf goes 17.5 in/cm into shelf 2480
16.0,,,4,2425,351,49,64182.0,04,7,3,2481,7.454478536325041,The last book from this shelf goes 7.5 in/cm into shelf 2481
18.0,x,,4,2426,352,49,64200.0,04,1,4,2481,25.45447853632504,The last book from this shelf goes 25.5 in/cm into shelf 2481
17.0,,,4,2427,352,49,64217.0,04,2,4,2482,16.387730118905893,The last book from this shelf goes 16.4 in/cm into shelf 2482
20.0,,,4,2428,352,49,64237.0,04,3,4,2483,10.320981701486744,The last book from this shelf goes 10.3 in/cm into shelf 2483
17.0,,,4,2429,352,49,64254.0,04,4,4,2484,1.2542332840675954,The last book from this shelf goes 1.3 in/cm into shelf 2484
21.0,,,4,2430,352,49,64275.0,04,5,4,2484,22.254233284067595,The last book from this shelf goes 22.3 in/cm into shelf 2484
19.0,,,4,2431,352,49,64294.0,04,6,4,2485,15.187484866648447,The last book from this shelf goes 15.2 in/cm into shelf 2485
20.0,,,4,2432,352,49,64314.0,04,7,4,2486,9.120736449229298,The last book from this shelf goes 9.1 in/cm into shelf 2486
30.0,x,,4,2433,353,49,64344.0,04,1,5,2487,13.05398803181015,The last book from this shelf goes 13.1 in/cm into shelf 2487
33.0,,,4,2434,353,49,64377.0,04,2,5,2488,19.987239614391,The last book from this shelf goes 20.0 in/cm into shelf 2488
19.0,,,4,2435,353,49,64396.0,04,3,5,2489,12.920491196971852,The last book from this shelf goes 12.9 in/cm into shelf 2489
17.0,,,4,2436,353,49,64413.0,04,4,5,2490,3.8537427795527037,The last book from this shelf goes 3.9 in/cm into shelf 2490
23.0,,,4,2437,353,49,64436.0,04,5,5,2491,0.7869943621335551,The last book from this shelf goes 0.8 in/cm into shelf 2491
